Designator,Name,Footprint,Mid X,Mid Y,Layer,Rotation,Value
C1,CAP_0402,CAP_0402,-11.144,32.052,Top,90,10uF 6.3V
C2,CAP_0402,CAP_0402,3.646,-13.7,Top,90,4.7uF 6.3V
C3,CAP_0402,CAP_0402,1.009,-6.985,Top,0,4.7uF 6.3V
C4,CAP_0402,CAP_0402,1.009,-8.424,Top,0,0.1uF 6.3V
C5,CAP_0402,CAP_0402,-2.036,-4.906,Top,90,4.7uF 6.3V
C6,CAP_0402,CAP_0402,-0.58,-4.906,Top,90,0.1uF 6.3V
C7,CAP_0402,CAP_0402,2.366,21.907,Bottom,0,0.1uF 6.3V
C8,CAP_0402,CAP_0402,2.366,20.637,Bottom,0,4.7uF 6.3V
C9,CAP_0402,CAP_0402,-13.653,2.049,Top,90,10uF 6.3V
C10,CAP_0402,CAP_0402,-13.653,4.778,Top,270,10uF 6.3V
C11,TANT_2917,TC_2917,-2.724,-32.385,Top,180,47uF 16V
D1,XZBWR68F5MAV-3,DIO_0402,-16.509,27.847,Top,270,WIFI_LED_WHITE_0402
D2,SML-P12DTT86R,DIO_0402,16.51,27.488,Top,90,BUS_LED_ORANGE_0402
D3,ESD5Z5.0T1G,SOD-523,-10.42,-10.477,Top,0,
D4,ESD5Z5.0T1G,SOD-523,-10.42,-9.208,Top,0,
D5,,SOD-123F,-9.045,-1.869,Top,270,PMEG2010ER
D6,,SOD-123F,-13.299,-1.841,Top,180,PMEG2010ER
J1,IDC2X10M,IDC20M,0,-23.177,Top,180,
J2,USB-C 16P,USB-C 16P,-18.877,-9.814,Top,270,U06-CF2C5R-009
Q1,UMH3NTN,SOT363,1.312,-13.495,Top,180,UMH3NTN
R1,RES_0402,RES_0402,12.398,17.621,Top,0,10K
R2,RES_0402,RES_0402,1.508,-15.527,Top,180,10K
R3,RES_0402,RES_0402,1.855,-10.764,Top,180,10K
R4,RES_0402,RES_0402,-14.605,27.637,Top,270,1k
R5,RES_0402,RES_0402,14.604,27.637,Top,90,1.2k
R6,RES_0402,RES_0402,-4.949,-4.906,Top,90,47.5K
R7,RES_0402,RES_0402,-6.405,-4.906,Top,90,1k
R8,RES_0402,RES_0402,-3.492,-4.906,Top,90,22.1K
R9,RES_0402,RES_0402,12.398,23.813,Top,0,10K
R10,RES_0402,RES_0402,12.398,21.273,Top,0,10k
R11,RES_0402,RES_0402,13.191,22.543,Top,0,10k
R12,RES_0402,RES_0402,12.398,30.162,Top,0,10k
R13,RES_0402,RES_0402,12.398,13.653,Top,0,10k
R14,RES_0402,RES_0402,12.398,16.178,Top,0,10k
R15,RES_0402,RES_0402,-10.016,-11.906,Top,180,5.1K
R16,RES_0402,RES_0402,-10.016,-7.779,Top,180,5.1K
R17,RES_0402,RES_0402,3.636,-17.304,Top,180,1K
R18,RES_0402,RES_0402,7,-17.304,Top,0,1K
R19,RES_0402,RES_0402,7.159,-6.667,Top,0,10k
R20,RES_0402,RES_0402,11.415,-15.716,Top,180,270
R21,RES_0402,RES_0402,-0.62,-17.304,Top,0,1K
R22,RES_0402,RES_0402,-12.08,21.273,Top,180,10K
S1,SKHHLQA010,SKHHLQA010,15.365,39.725,Top,180,Safe Reset
S2,SKHHLQA010,SKHHLQA010,-15.492,39.725,Top,180,ButtonA
SD1,TF-01 MicroSD,MicroSD Push/Push,13.884,19.28,Bottom,90,
U1,ESP32-WROVER,ESP32-WROVER-PAD,0,24.447,Top,0,ESP32-WROVER
U2,CP2102N-QFN24,QFN-24/4x4x0.5,-4.158,-9.895,Top,180,
U3,LSF0204RGY,VQFN-14 3.5x3.5mm,-16.304,15.102,Bottom,180,
U4,LSF0204RGY,VQFN-14 3.5x3.5mm,8.779,-7.916,Bottom,180,
U5,LSF0204RGY,VQFN-14 3.5x3.5mm,15.446,-7.916,Bottom,180,
U6,XC6210,SOT23-5,-11.438,3.062,Top,90,XC6220B331MR
VO1,SFH690,SOP-4/7x2.54,11.43,-9.867,Top,90,
