Designator,Footprint,Value,Quantity,JLCPCB Part #
C1,CAP_0402,10uF 6.3V,1,C15525
C2,CAP_0402,4.7uF 6.3V,1,C23733
C3,CAP_0402,4.7uF 6.3V,1,C23733
C4,CAP_0402,0.1uF 6.3V,1,C1525
C5,CAP_0402,4.7uF 6.3V,1,C23733
C6,CAP_0402,0.1uF 6.3V,1,C1525
C7,CAP_0402,0.1uF 6.3V,1,C1525
C8,CAP_0402,4.7uF 6.3V,1,C23733
C9,CAP_0402,10uF 6.3V,1,C15525
C10,CAP_0402,10uF 6.3V,1,C15525
C11,TANT_2917,47uF 16V,1,C1968403
D1,XZBWR68F5MAV-3,WIFI_LED_WHITE_0402,1,C157742
D2,SML-P12DTT86R,BUS_LED_ORANGE_0402,1,C364554
D3,ESD5Z5.0T1G,,1,C2879719
D4,ESD5Z5.0T1G,,1,C2879719
D5,,"PMEG2010ER,115",1,C82288
D6,,"PMEG2010ER,115",1,C82288
J1,IDC2X10M,,1,C4749199
J2,USB-C 16P,U06-CF2C5R-009,1,C5178539
Q1,EMH3FHAT2R,EMH3FHAT2R,1,C2766154
R1,RES_0402,10K,1,C25744
R2,RES_0402,10K,1,C25744
R3,RES_0402,10K,1,C25744
R4,RES_0402,1k,1,C11702
R5,RES_0402,1.2k,1,C25862
R6,RES_0402,47.5K,1,C25896
R7,RES_0402,1k,1,C11702
R8,RES_0402,22.1K,1,C163478
R9,RES_0402,10K,1,C25744
R10,RES_0402,10k,1,C25744
R11,RES_0402,10k,1,C25744
R12,RES_0402,10k,1,C25744
R13,RES_0402,10k,1,C25744
R14,RES_0402,10k,1,C25744
R15,RES_0402,5.1K,1,C25905
R16,RES_0402,5.1K,1,C25905
R17,RES_0402,1K,1,C11702
R18,RES_0402,1K,1,C11702
R19,RES_0402,10k,1,C25744
R20,RES_0402,270,1,C25099
R21,RES_0402,1K,1,C11702
R22,RES_0402,10K,1,C25744
S1,TS02-66-110-BK-260-LCR-D,Safe Reset,1,C455103
S2,TS02-66-110-BK-260-LCR-D,ButtonA,1,C455103
SD1,TF-012-P9,MicroSD,1,C5333937
U1,ESP32-WROVER,ESP32-WROVER-E-N16R8,1,C529589
U2,CP2102N-A02-GQFN24R,,1,C969151
U3,LSF0204RGY,,1,C140297
U4,LSF0204RGY,,1,C140297
U5,LSF0204RGY,,1,C140297
U6,XC6210,XC6220B331MR,1,C3040644
VO1,SFH690,,1,C3008847
