"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","47uF 10v","Capacitor_Tantalum_SMD:CP_EIA-3528-15_AVX-H_Pad1.50x2.35mm_HandSolder",""
"2","C2","1","220uF 10v","Capacitor_Tantalum_SMD:CP_EIA-7343-30_AVX-N_Pad2.25x2.55mm_HandSolder",""
"3","D1","1","WIFI","LED_THT:LED_D3.0mm",""
"4","D2","1","BUS","LED_THT:LED_D3.0mm",""
"5","D3","1","B140-E3","Diode_SMD:D_SMA",""
"6","H1, H2","2","MountingHole","MountingHole:MountingHole_2.7mm_M2.5",""
"7","J1","1","Conn_02x10_Odd_Even","Connector_IDC:IDC-Header_2x10_P2.54mm_Horizontal",""
"8","P1","1","ST-TF-003A","ST-TF-003A:SUNTECH_ST-TF-003A",""
"9","R1, R2, R13, R14, R15","5","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"10","R3, R4, R5, R6, R7, R8, R9, R10, R12, R16","10","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"11","R11","1","270R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"12","SW1","1","ButtonA","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK",""
"13","SW2","1","Reset","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK",""
"14","U1, U2, U3","3","LSF0204PWR","Package_SO:TSSOP-14_4.4x5mm_P0.65mm",""
"15","U4","1","ESP32-DevKitC-VE","ESP32-DEVKITC-32U:MODULE_ESP32-DEVKITC-32U",""
"16","U5","1","SFH690AT","Package_SO:SO-4_4.4x3.9mm_P2.54mm",""
